slug,ticker,platform,scrape_url
hp,HPQ,q4,https://investor.hp.com/news/default.aspx
hpe,HPE,investis,https://investors.hpe.com/news-releases
hubbell,HUBB,unknown,https://investor.hubbell.com/
humana,HUM,notified,https://humana.gcs-web.com/news-releases
iff,IFF,notified,https://ir.iff.com/news-releases
illinois-tool-works,ITW,q4,https://investor.itw.com/news/default.aspx
incyte,INCY,notified,https://investor.incyte.com/news-releases
ingersoll-rand,IR,q4,https://investors.irco.com/news/default.aspx
insulet,PODD,q4,https://investor.insulet.com/news/default.aspx
intel,INTC,notified,https://www.intc.com/news-releases
intercontinental-exchange,ICE,unknown,https://ir.theice.com/
international-paper,IP,notified,https://www.internationalpaper.com/investors/news-releases
intuit,INTU,notified,https://investors.intuit.com/news-releases
intuitive-surgical,ISRG,notified,https://isrg.intuitive.com/news-releases
iqvia,IQV,unknown,https://ir.iqvia.com/
j-m-smucker,SJM,q4,https://investors.jmsmucker.com/news/default.aspx
jb-hunt,JBHT,investis,https://investor.jbhunt.com/news-releases
keycorp,KEY,unknown,https://investor.key.com/
kimco-realty,KIM,unknown,https://investors.kimcorealty.com/
kkr,KKR,unknown,https://ir.kkr.com/
kla,KLAC,notified,https://ir.kla.com/news-releases
l3harris,LHX,unknown,https://investors.l3harris.com/
las-vegas-sands,LVS,q4,https://investor.sands.com/news/default.aspx
leidos,LDOS,notified,https://investors.leidos.com/news-releases
lennox,LII,notified,https://investor.lennox.com/news-releases
linde,LIN,unknown,https://www.linde.com/investors
lowes,LOW,unknown,https://corporate.lowes.com/investors
lumentum,LITE,q4,https://investor.lumentum.com/news/default.aspx
lyondell-basell,LYB,q4,https://investors.lyondellbasell.com/news/default.aspx
martin-marietta,MLM,unknown,https://www.martinmarietta.com/investor-relations
marvell,MRVL,notified,https://investor.marvell.com/news-releases
masco,MAS,unknown,https://investor.masco.com/
mccormick,MKC,notified,https://ir.mccormick.com/news-releases
mcdonalds,MCD,aem,https://corporate.mcdonalds.com/corpmcd/investors.html
merck,MRK,unknown,https://www.merck.com/investor-relations/
meta,META,q4,https://investor.atmeta.com/home/default.aspx/news/default.aspx
micron,MU,notified,https://investors.micron.com/news-releases
microsoft,MSFT,unknown,https://news.microsoft.com/source/tag/investor-relations/
moderna,MRNA,unknown,https://investors.modernatx.com/
monolithic-power,MPWR,unknown,https://www.monolithicpower.com/en/about-mps/investor-relations.html
morgan-stanley,MS,aem,https://www.morganstanley.com/about-us-ir
msci,MSCI,notified,https://ir.msci.com/news-releases
newmont,NEM,unknown,https://www.newmont.com/investors/
news-corp,NWSA,notified,https://investors.newscorp.com/news-releases
nike,NKE,unknown,https://investors.nike.com/
norwegian-cruise-line,NCLH,notified,https://www.nclhltd.com/investors/news-releases
nrg,NRG,notified,https://investors.nrg.com/news-releases
nvidia,NVDA,aem,https://investor.nvidia.com/news/press-releases/default.aspx
o-reilly-auto-parts,ORLY,unknown,https://corporate.oreillyauto.com/investor-relations-information/
omnicom,OMC,q4,https://investor.omc.com/news/default.aspx
onsemi,ON,notified,https://investor.onsemi.com/news-releases
oracle,ORCL,q4,https://investor.oracle.com/news/default.aspx
packaging-corp,PKG,notified,https://ir.packagingcorp.com/news-releases
palantir,PLTR,unknown,https://investors.palantir.com/
paypal,PYPL,q4,https://investor.pypl.com/news/default.aspx
pepsi,PEP,unknown,https://www.pepsico.com/investors
ptc,PTC,q4,https://investor.ptc.com/news/default.aspx
qualcomm,QCOM,unknown,https://investor.qualcomm.com/
quanta-services,PWR,notified,https://investors.quantaservices.com/news-releases
rollins,ROL,notified,https://www.rollins.com/investors/news-releases
ross-stores,ROST,notified,https://investors.rossstores.com/news-releases
royal-caribbean,RCL,investorroom,https://www.rclinvestor.com/news-releases
salesforce,CRM,q4,https://investor.salesforce.com/news/default.aspx
sandisk,SNDK,notified,https://investor.sandisk.com/news-releases
sba-communications,SBAC,unknown,https://ir.sbasite.com/
servicenow,NOW,unknown,https://investor.servicenow.com/
sherwin-williams,SHW,unknown,https://investors.sherwin-williams.com/
slb,SLB,notified,https://investorcenter.slb.com/news-releases
smurfit-westrock,SW,q4,http://investors.smurfitwestrock.com/news/default.aspx
solventum,SOLV,notified,https://investors.solventum.com/news-releases
southern-company,SO,unknown,https://investor.southerncompany.com/
spacex,SPCX,unknown,https://ir.spacex.com/
stryker,SYK,unknown,https://investors.stryker.com/
synchrony-financial,SYF,unknown,https://investors.synchrony.com/
synopsys,SNPS,q4,https://investor.synopsys.com/news/default.aspx
t-mobile,TMUS,q4,https://investor.t-mobile.com/news/default.aspx
t-rowe-price,TROW,notified,https://investors.troweprice.com/news-releases
take-two-games,TTWO,unknown,https://www.take2games.com/ir
te-connectivity,TEL,notified,https://investors.te.com/news-releases
tesla,TSLA,unknown,https://ir.tesla.com/
texas-instruments,TXN,notified,https://investor.ti.com/news-releases
the-trade-desk,TTD,q4,https://investors.thetradedesk.com/news/default.aspx
tractor-supply,TSCO,unknown,https://ir.tractorsupply.com/
tyler-tech,TYL,q4,https://investors.tylertech.com/news/default.aspx
uber,UBER,unknown,https://investor.uber.com/
ulta,ULTA,notified,https://www.ulta.com/investor/news-releases
united-airlines,UAL,notified,https://ir.united.com/news-releases
united-rentals,URI,q4,https://investor-relations.unitedrentals.com/press-releases/default.aspx
universal-health-services,UHS,notified,https://ir.uhs.com/news-releases
verisign,VRSN,notified,https://investor.verisign.com/news-releases
verizon,VZ,notified,https://www.verizon.com/about/investors/news-releases
vertex-pharmaceuticals,VRTX,notified,https://investors.vrtx.com/news-releases
vertiv,VRT,q4,https://investors.vertiv.com/news/default.aspx
visa,V,q4,https://investor.visa.com/news/default.aspx
vistra,VST,investorroom,https://investor.vistracorp.com/news-releases
wabtec,WAB,notified,https://ir.wabteccorp.com/news-releases
warner-bros-discovery,WBD,q4,https://ir.wbd.com/news/default.aspx
western-digital,WDC,notified,https://investor.wdc.com/news-releases
weyerhaeuser,WY,investorroom,https://investor.weyerhaeuser.com/news-releases
yum-brands,YUM,unknown,https://investors.yum.com/
zebra,ZBRA,q4,https://investors.zebra.com/news/default.aspx
zimmer-biomet,ZBH,investis,https://investor.zimmerbiomet.com/news-releases
