slug,ticker,title,url,publish_date,publish_time
caseys,CASY,Casey's Announces Timing of Third Quarter Earnings Release and Conference Call,https://investor.caseys.com/news-releases/news-release-details/caseys-announces-timing-third-quarter-earnings-release-and-4,2026-02-19,
cme,CME,CME Group to Launch 24/7 Cryptocurrency Futures and Options Trading on May 29,https://www.cmegroup.com/content/cmegroup/en/media-room/press-releases/2026/2/19/cme_group_to_launch247cryptocurrencyfuturesandoptionstradingonma.html,2026-02-19,
coke,KO,Board of Directors of The Coca-Cola Company Elects New Officer and Approves 64th Consecutive Annual Dividend Increase,https://investors.coca-colacompany.com/news-events/press-releases/detail/1152/board-of-directors-of-the-coca-cola-company-elects-new-officer-and-approves-64th-consecutive-annual-dividend-increase,2026-02-19,2:00 pm EST
generac,GNRC,"Generac Signs Agreement to Acquire Enercon, Accelerating Growth in Data Center and Switchgear Markets",https://investors.generac.com/news-releases/news-release-details/generac-signs-agreement-acquire-enercon-accelerating-growth-data,2026-02-19,
robinhood,HOOD,"Robinhood Markets, Inc. Reports January 2026 Operating Data",https://investors.robinhood.com/news-releases/news-release-details/robinhood-markets-inc-reports-january-2026-operating-data,2026-02-19,
sandisk,SNDK,Sandisk Announces Participation in Investor Conferences,https://investor.sandisk.com/news-releases/news-release-details/sandisk-announces-participation-investor-conferences-0,2026-02-19,
seagate,STX,Seagate Announces Closing of Exchanges with Holders of $600 Million Principal Amount of Exchangeable Notes,https://investors.seagate.com/news/news-details/2026/Seagate-Announces-Closing-of-Exchanges-with-Holders-of-600-Million-Principal-Amount-of-Exchangeable-Notes/default.aspx,2026-02-19,
