slug,ticker,title,url,publish_date,publish_time
apollo,APO,Apollo and Singapore’s Keppel to Invest in New Offshore Energy Asset Fund,https://ir.apollo.com/news-events/press-releases/detail/636/apollo-and-singapores-keppel-to-invest-in-new-offshore,2026-07-27,9:07am EDT
chipotle,CMG,CHIPOTLE CELEBRATES NATIONAL AVOCADO DAY WITH FREE CHIPS AND GUAC,https://ir.chipotle.com/2026-07-27-CHIPOTLE-CELEBRATES-NATIONAL-AVOCADO-DAY-WITH-FREE-CHIPS-AND-GUAC,2026-07-27,
cme,CME,Traders Drive Strong Demand in First Weekend of CME Group's 24/7 Gold Futures,https://www.cmegroup.com/content/cmegroup/en/media-room/press-releases/2026/7/27/traders_drive_strongdemandinfirstweekendofcmegroups247goldfuture.html,2026-07-27,
coke,KO,The Coca-Cola Company Announces Significant Progress in Restoring fairlife Operations Following Technology Disruption,https://investors.coca-colacompany.com/news-events/press-releases/detail/1167/the-coca-cola-company-announces-significant-progress-in-restoring-fairlife-operations-following-technology-disruption,2026-07-27,6:55 am EDT
