slug,ticker,title,url,publish_date,publish_time
caseys,CASY,Casey’s Announces 2026 Investor Day,https://investor.caseys.com/news-releases/news-release-details/caseys-announces-2026-investor-day,2026-06-15,
generac,GNRC,"GENERAC ACQUIRES BELVIDERE, ILLINOIS FACILITY TO EXPAND LARGE-MEGAWATT GENERATOR PACKAGING CAPACITY",https://investors.generac.com/news-releases/news-release-details/generac-acquires-belvidere-illinois-facility-expand-large,2026-06-15,
netflix,NFLX,Netflix to Announce Second Quarter 2026 Financial Results,https://ir.netflix.net/investor-news-and-events/financial-releases/press-release-details/2026/Netflix-to-Announce-Second-Quarter-2026-Financial-Results/default.aspx,2026-06-15,
