slug,ticker,title,url,publish_date
builders-firstsource,BLDR,Builders FirstSource to Host Fourth Quarter and Full Year 2025 Financial Results Conference Call and Webcast,https://investors.bldr.com/news/news-details/2026/Builders-FirstSource-to-Host-Fourth-Quarter-and-Full-Year-2025-Financial-Results-Conference-Call-and-Webcast/default.aspx,2026-01-16
coinbase,COIN,Coinbase Announces Date of Fourth Quarter and Full Year 2025 Financial Results,https://investor.coinbase.com/news/news-details/2026/Coinbase-Announces-Date-of-Fourth-Quarter-and-Full-Year-2025-Financial-Results/default.aspx,2026-01-16
