slug,ticker,title,url,publish_date,publish_time
apollo,APO,Apollo Sports Capital Completes Transaction to Become Majority Shareholder of Atlético de Madrid,https://ir.apollo.com/news-events/press-releases/detail/612/apollo-sports-capital-completes-transaction-to-become,2026-03-12,8:30am EDT
ibm,IBM,IBM Releases a New Blueprint for Quantum-Centric Supercomputing,https://newsroom.ibm.com/2026-03-12-ibm-releases-a-new-blueprint-for-quantum-centric-supercomputing,2026-03-12,
lockheed-martin,LMT,Lockheed Martin Delivers Second Shipment of Aegis System Equipped Vessel Shipsets and AN/SPY-7(V)1 Radar Equipment to Japan,https://news.lockheedmartin.com/2026-03-12-Lockheed-Martin-Delivers-Second-Shipment-of-Aegis-System-Equipped-Vessel-Shipsets-and-AN-SPY-7-V-1-Radar-Equipment-to-Japan,2026-03-12,
lockheed-martin,LMT,PrSM Increment 2 Takes Flight and Advances Army’s Moving-Target and Maritime Capability,https://news.lockheedmartin.com/2026-03-12-PrSM-Increment-2-Takes-Flight-and-Advances-Army-s-Moving-Target-and-maritime-capability,2026-03-12,
robinhood,HOOD,"Robinhood Markets, Inc. Reports February 2026 Operating Data",https://investors.robinhood.com/news-releases/news-release-details/robinhood-markets-inc-reports-february-2026-operating-data,2026-03-12,
workday,WDAY,"Fairview Health Services Selects Workday to Modernize HR, Finance, and Supply Chain on One AI-Powered Platform",https://investor.workday.com/news-and-events/press-releases/news-details/2026/Fairview-Health-Services-Selects-Workday-to-Modernize-HR-Finance-and-Supply-Chain-on-One-AI-Powered-Platform/default.aspx,2026-03-12,
