slug,ticker,title,url,publish_date,publish_time
abbvie,ABBV,AbbVie to Present at the Goldman Sachs 47th Annual Global Healthcare Conference,https://investors.abbvie.com/news-releases/news-release-details/abbvie-present-goldman-sachs-47th-annual-global-healthcare,2026-06-02,
apollo,APO,Apollo to Present at the Morgan Stanley 2026 US Financials Conference,https://ir.apollo.com/news-events/press-releases/detail/627/apollo-to-present-at-the-morgan-stanley-2026-us-financials,2026-06-02,8:00am EDT
apollo,APO,"Apollo Funds Complete Sale of ALTEMIRA, Leading Pan-Asian Aluminum Packaging Company",https://ir.apollo.com/news-events/press-releases/detail/628/apollo-funds-complete-sale-of-altemira-leading-pan-asian,2026-06-02,7:00pm EDT
chipotle,CMG,"CHIPOTLE MEXICAN GRILL TO ANNOUNCE SECOND QUARTER 2026 RESULTS ON JULY 29, 2026","https://ir.chipotle.com/2026-06-02-CHIPOTLE-MEXICAN-GRILL-TO-ANNOUNCE-SECOND-QUARTER-2026-RESULTS-ON-JULY-29,-2026",2026-06-02,
virtu,VIRT,Virtu Financial Obtains MiCA License,https://ir.virtu.com/news-releases/news-release-details/virtu-financial-obtains-mica-license,2026-06-02,
