slug,ticker,title,url,publish_date,publish_time
bny,BNY,BNY Declares Dividends,https://www.bny.com/content/bnymellon/global/en/about-us/newsroom/press-release/bny-declares-dividends-130470.html,2026-07-15,
bny,BNY,BNY Reports Second Quarter 2026 Results,https://www.bny.com/content/bnymellon/global/en/about-us/newsroom/press-release/bny-reports-second-quarter-2026-results-130469.html,2026-07-15,
coinbase,COIN,Coinbase Announces Date of Second Quarter 2026 Financial Results,https://investor.coinbase.com/news/news-details/2026/Coinbase-Announces-Date-of-Second-Quarter-2026-Financial-Results/default.aspx,2026-07-15,
coke,KO,Board of Directors of The Coca-Cola Company Elects New Officer and Declares Regular Quarterly Dividend,https://investors.coca-colacompany.com/news-events/press-releases/detail/1165/board-of-directors-of-the-coca-cola-company-elects-new-officer-and-declares-regular-quarterly-dividend,2026-07-15,2:00 pm EDT
datadog,DDOG,Datadog Named a Leader in the 2026 Gartner® Magic Quadrant™ For Observability Platforms For Sixth Consecutive Year,https://investors.datadoghq.com/news-releases/news-release-details/datadog-named-leader-2026-gartnerr-magic-quadranttm,2026-07-15,
ge-vernova,GEV,GE Vernova to deliver SF₆-free grid hubs for Stromnetz Berlin,https://www.gevernova.com/news/press-releases/ge-vernova-deliver-sf6-free-grid-hubs-stromnetz-berlin,2026-07-15,
generac,GNRC,Generac Announces Second Quarter 2026 Earnings Release Date and Conference Call,https://investors.generac.com/news-releases/news-release-details/generac-announces-second-quarter-2026-earnings-release-date-and,2026-07-15,
home-depot,HD,"THE HOME DEPOT DEBUTS 2026 HALLOWEEN COLLECTION WITH NEW GIANTS, INTERACTIVE TECH AND FAN FAVORITE RETURNS",https://ir.homedepot.com/news-releases/2026/07-15-2026-130113180,2026-07-15,
ibm,IBM,"IBM Launches New Power Systems and Software Built for Enterprises to Address Risk, Productivity, and Flexibility","https://newsroom.ibm.com/2026-07-15-ibm-launches-new-power-systems-and-software-built-for-enterprises-to-address-risk,-productivity,-and-flexibility",2026-07-15,
jabil,JBL,Jabil Announces $1.5 Billion Share Repurchase Authorization,https://investors.jabil.com/news/news-details/2026/Jabil-Announces-1-5-Billion-Share-Repurchase-Authorization/default.aspx,2026-07-15,
jabil,JBL,Jabil Opens Next-Generation Intelligent Logistics Hub in Penang,https://investors.jabil.com/news/news-details/2026/Jabil-Opens-Next-Generation-Intelligent-Logistics-Hub-in-Penang/default.aspx,2026-07-15,
skyworks,SWKS,Skyworks Sets Date for Third Quarter Fiscal 2026 Earnings Release and Conference Call,https://investors.skyworksinc.com/news-releases/news-release-details/skyworks-sets-date-third-quarter-fiscal-2026-earnings-release,2026-07-15,
super-micro,SMCI,Supermicro Expands End-to-End DCBBS Liquid Cooling Portfolio with Rear Door Heat Exchangers for High-Density AI and HPC Infrastructure,https://ir.supermicro.com/news/news-details/2026/Supermicro-Expands-End-to-End-DCBBS-Liquid-Cooling-Portfolio-with-Rear-Door-Heat-Exchangers-for-High-Density-AI-and-HPC-Infrastructure/default.aspx,2026-07-15,
