slug,ticker,title,url,publish_date,publish_time
builders-firstsource,BLDR,Builders FirstSource Reports Fourth Quarter and Full-Year 2025 Results; Provides 2026 Financial Outlook,https://investors.bldr.com/news/news-details/2026/Builders-FirstSource-Reports-Fourth-Quarter-and-Full-Year-2025-Results-Provides-2026-Financial-Outlook/default.aspx,2026-02-17,
genuine-parts,GPC,Genuine Parts Company Announces Plan to Separate Automotive and Industrial Businesses Into Two Industry-Leading Public Companies,https://www.genpt.com/2026-02-17-Genuine-Parts-Company-Announces-Plan-to-Separate-Automotive-and-Industrial-Businesses-Into-Two-Industry-Leading-Public-Companies,2026-02-17,
genuine-parts,GPC,Genuine Parts Company Reports Fourth Quarter and Full-Year 2025 Results,https://www.genpt.com/2026-02-17-Genuine-Parts-Company-Reports-Fourth-Quarter-and-Full-Year-2025-Results,2026-02-17,
netflix,NFLX,"WBD Files Definitive Proxy Statement and Schedules Special Meeting for March 20, 2026, to Approve the WBD-Netflix Transaction",https://ir.netflix.net/investor-news-and-events/financial-releases/press-release-details/2026/WBD-Files-Definitive-Proxy-Statement-and-Schedules-Special-Meeting-for-March-20-2026-to-Approve-the-WBD-Netflix-Transaction/default.aspx,2026-02-17,
paramount,PSKY,PARAMOUNT COMMENTS ON WARNER BROS. DISCOVERY DISCLOSURES,https://ir.paramount.com/news-releases/news-release-details/paramount-comments-warner-bros-discovery-disclosures,2026-02-17,
