slug,ticker,title,url,publish_date,publish_time
abbvie,ABBV,AbbVie to Present at the Bank of America Securities Healthcare Conference,https://investors.abbvie.com/news-releases/news-release-details/abbvie-present-bank-america-securities-healthcare-conference-2,2026-05-06,
apollo,APO,Apollo Reports First Quarter 2026 Results,https://ir.apollo.com/news-events/press-releases/detail/622/apollo-reports-first-quarter-2026-results,2026-05-06,6:30am EDT
axon,AXON,"Axon reports Q1 2026 revenue of $807 million, up 34% year over year","https://investor.axon.com/2026-05-06-Axon-reports-Q1-2026-revenue-of-807-million,-up-34-year-over-year",2026-05-06,
bio-techne,TECH,Bio-Techne Declares Dividend,https://investors.bio-techne.com/press-releases/detail/532/bio-techne-declares-dividend,2026-05-06,
bio-techne,TECH,Bio-Techne Releases Third Quarter Fiscal 2026 Results,https://investors.bio-techne.com/press-releases/detail/533/bio-techne-releases-third-quarter-fiscal-2026-results,2026-05-06,
cdw,CDW,CDW Declares Quarterly Cash Dividend of $0.630 Per Share,https://investor.cdw.com/news/news-details/2026/CDW-Declares-Quarterly-Cash-Dividend-of-0-630-Per-Share-5ed35dea0/default.aspx,2026-05-06,
cdw,CDW,CDW Reports First Quarter 2026 Earnings,https://investor.cdw.com/news/news-details/2026/CDW-Reports-First-Quarter-2026-Earnings/default.aspx,2026-05-06,
costco,COST,Costco Wholesale Corporation Reports April Sales Results,https://investor.costco.com/news/news-details/2026/Costco-Wholesale-Corporation-Reports-April-Sales-Results/default.aspx,2026-05-06,
global-payments,GPN,Global Payments Reports First Quarter 2026 Results,https://investors.globalpayments.com/news-events/press-releases/detail/506/global-payments-reports-first-quarter-2026-results,2026-05-06,6:55am EDT
ibm,IBM,IBM Consulting Expands AI Capabilities to Accelerate Enterprise Transformation,https://newsroom.ibm.com/2026-05-06-ibm-consulting-expands-ai-capabilities-to-accelerate-enterprise-transformation,2026-05-06,
netapp,NTAP,NetApp Hosts Fourth Quarter and Fiscal Year 2026 Financial Results Webcast,https://investors.netapp.com/news/news-details/2026/NetApp-Hosts-Fourth-Quarter-and-Fiscal-Year-2026-Financial-Results-Webcast/default.aspx,2026-05-06,
seagate,STX,"Seagate Announces the Retirement of Michael R. Cannon, Lead Independent Director, After a 40 Year History in the Disk Drive Industry",https://investors.seagate.com/news/news-details/2026/Seagate-Announces-the-Retirement-of-Michael-R--Cannon-Lead-Independent-Director-After-a-40-Year-History-in-the-Disk-Drive-Industry/default.aspx,2026-05-06,
tjx,TJX,"The TJX Companies, Inc. to Report Q1 FY27 Results May 20, 2026",https://investor.tjx.com/news-releases/news-release-details/tjx-companies-inc-report-q1-fy27-results-may-20-2026,2026-05-06,11:05 AM EDT
