slug,ticker,title,url,publish_date,publish_time
costco,COST,Costco Wholesale Corporation Reports Second Quarter and Year-to-Date Operating Results for Fiscal 2026 and February Sales Results,https://investor.costco.com/news/news-details/2026/Costco-Wholesale-Corporation-Reports-Second-Quarter-and-Year-to-Date-Operating-Results-for-Fiscal-2026-and-February-Sales-Results/default.aspx,2026-03-05,
home-depot,HD,The Home Depot Boosts Pro Productivity with Industry's First Real Time Delivery Tracking for Big & Bulky Materials,https://ir.homedepot.com/news-releases/2026/03-05-2026-130130590,2026-03-05,
ibm,IBM,IBM and University Researchers Create a Never-Before-Seen Molecule and Prove its Exotic Nature with Quantum Computing,https://newsroom.ibm.com/2026-03-05-ibm-and-university-researchers-create-a-never-before-seen-molecule-and-prove-its-exotic-nature-with-quantum-computing,2026-03-05,
lockheed-martin,LMT,"Lockheed Martin Names New Vice President, Investor Relations",https://news.lockheedmartin.com/2026-03-05-Lockheed-Martin-Names-New-Vice-President-Investor-Relations,2026-03-05,
sysco,SYY,Sysco Announces CFO Transition Process,https://investors.sysco.com/annual-reports-and-sec-filings/news-releases/2026/03-05-2026-130330420,2026-03-05,
