slug,ticker,title,url,publish_date,publish_time
abbvie,ABBV,"AbbVie to Acquire Apogee Therapeutics, Deepening Immunology Portfolio",https://investors.abbvie.com/news-releases/news-release-details/abbvie-acquire-apogee-therapeutics-deepening-immunology,2026-06-22,
centene,CNC,Peach State Health Plan Supports the Power of Mentorship at Big Brothers Big Sisters of America's Annual Conference,https://investors.centene.com/2026-06-22-Peach-State-Health-Plan-Supports-the-Power-of-Mentorship-at-Big-Brothers-Big-Sisters-of-Americas-Annual-Conference,2026-06-22,4:22 PM EDT
centene,CNC,CENTENE APPOINTS LAUREN M. TYLER TO BOARD OF DIRECTORS,https://investors.centene.com/2026-06-22-CENTENE-APPOINTS-LAUREN-M-TYLER-TO-BOARD-OF-DIRECTORS,2026-06-22,4:30 PM EDT
danaher,DHR,Danaher Schedules Second Quarter 2026 Earnings Conference Call,https://investors.danaher.com/2026-06-22-Danaher-Schedules-Second-Quarter-2026-Earnings-Conference-Call,2026-06-22,
ibm,IBM,IBM and OpenAI Bring Frontier AI to Cyber Defense—Helping Enterprises Keep Pace with Machine-Speed Threats,https://newsroom.ibm.com/2026-06-22-ibm-and-openai-bring-frontier-ai-to-cyber-defense-helping-enterprises-keep-pace-with-machine-speed-threats,2026-06-22,
ibm,IBM,Wimbledon and IBM Introduce New AI-Powered Fan Experiences and Modernized Digital Platforms for The Championships 2026,https://newsroom.ibm.com/2026-06-22-wimbledon-and-ibm-introduce-new-ai-powered-fan-experiences-and-modernized-digital-platforms-for-the-championships-2026,2026-06-22,
robinhood,HOOD,Robinhood Announces Pricing of Private Offering of $2.0 Billion of Convertible Senior Notes Due 2029,https://investors.robinhood.com/news-releases/news-release-details/robinhood-announces-pricing-private-offering-20-billion,2026-06-22,
robinhood,HOOD,Robinhood Announces Private Offering of $2.0 Billion of Convertible Senior Notes Due 2029,https://investors.robinhood.com/news-releases/news-release-details/robinhood-announces-private-offering-20-billion-convertible,2026-06-22,
spacex,SPCX,Space Exploration Technologies Corp. Announces Inaugural Bond Issuance,https://ir.spacex.com/updates/releases-details/2026/Space-Exploration-Technologies-Corp--Announces-Inaugural-Bond-Issuance-2026-VOzvzAjhMA/default.aspx,2026-06-22,
super-micro,SMCI,Supermicro Delivers NVIDIA Vera Rubin NVL4 End-to-End DCBBS Blueprint with Native FP64 Performance for Converged HPC and AI Infrastructure,https://ir.supermicro.com/news/news-details/2026/Supermicro-Delivers-NVIDIA-Vera-Rubin-NVL4-End-to-End-DCBBS-Blueprint-with-Native-FP64-Performance-for-Converged-HPC-and-AI-Infrastructure/default.aspx,2026-06-22,
travelers,TRV,Travelers Announces the Start of the 2026 Travelers Championship,https://investor.travelers.com/newsroom/press-releases/news-details/2026/Travelers-Announces-the-Start-of-the-2026-Travelers-Championship/default.aspx,2026-06-22,
