slug,ticker,title,url,publish_date,publish_time
cme,CME,CME Group Reports Record June Average Daily Volume and Second-Highest Q2 Ever,https://www.cmegroup.com/content/cmegroup/en/media-room/press-releases/2026/7/02/cme_group_reportsrecordjuneaveragedailyvolumeandsecond-highestq2.html,2026-07-02,
robinhood,HOOD,"Robinhood Markets, Inc. to Announce Second Quarter 2026 Results on July 29, 2026",https://investors.robinhood.com/news-releases/news-release-details/robinhood-markets-inc-announce-second-quarter-2026-results-july,2026-07-02,
sandisk,SNDK,"Sandisk Announces Sampling of BiCS10 1Tb TLC 3D NAND Flash Memory Pushing Density, Power Efficiency and Performance to Support Data-Intensive Workloads",https://investor.sandisk.com/news-releases/news-release-details/sandisk-announces-sampling-bics10-1tb-tlc-3d-nand-flash-memory,2026-07-02,
