slug,ticker,title,url,publish_date,publish_time
builders-firstsource,BLDR,Builders FirstSource Announces COO and CHRO Succession Plan,https://investors.bldr.com/news/news-details/2026/Builders-FirstSource-Announces-COO-and-CHRO-Succession-Plan/default.aspx,2026-05-18,
coinbase,COIN,"Coinbase to Participate in the J.P. Morgan Global Technology, Media and Communications Conference",https://investor.coinbase.com/news/news-details/2026/Coinbase-to-Participate-in-the-J-P--Morgan-Global-Technology-Media-and-Communications-Conference/default.aspx,2026-05-18,
lockheed-martin,LMT,Lockheed Martin Named Preferred Combat System Integration Partner for Australia's Next-Generation Nuclear Subs,https://news.lockheedmartin.com/2026-05-18-Lockheed-Martin-Named-Preferred-Combat-System-Integration-Partner-for-Australias-Next-Generation-Nuclear-Subs,2026-05-18,
marriott-international,MAR,Marriott International Executive Vice President and Chief Financial Officer to Speak at the Morgan Stanley Travel & Leisure Conference on June 1; Remarks to be Webcast,https://marriott.gcs-web.com/news-releases/news-release-details/marriott-international-executive-vice-president-and-chief,2026-05-18,
sandisk,SNDK,Sandisk Announces Participation in Investor Conferences,https://investor.sandisk.com/news-releases/news-release-details/sandisk-announces-participation-investor-conferences-1,2026-05-18,
