slug,ticker,title,url,publish_date,publish_time
centene,CNC,Modesto Residents Will Gain Access to More Affordable Homes Due to $4 Million Health Net Investment,https://investors.centene.com/2026-06-18-Modesto-Residents-Will-Gain-Access-to-More-Affordable-Homes-Due-to-4-Million-Health-Net-Investment,2026-06-18,2:48 PM EDT
jabil,JBL,Jabil Expands Manufacturing Capacity in India,https://investors.jabil.com/news/news-details/2026/Jabil-Expands-Manufacturing-Capacity-in-India/default.aspx,2026-06-18,
nike,NKE,"John Rogers, Jr., Founder of Ariel Investments, to Retire from the NIKE, Inc. Board of Directors, Rogers to Serve as Strategic Advisor to Nike Focused on the Future of Sport and Community",https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2026/John-Rogers-Jr--Founder-of-Ariel-Investments-to-Retire-from-the-NIKE-Inc--Board-of-Directors/default.aspx,2026-06-18,
quest-diagnostics,DGX,"UTI-causing Bacteria Resistant to Current Drugs, Finds National Study by Hackensack Meridian CDI and Quest Diagnostics",https://ir.questdiagnostics.com/press-releases/press-release-details/2026/UTI-causing-Bacteria-Resistant-to-Current-Drugs-Finds-National-Study-by-Hackensack-Meridian-CDI-and-Quest-Diagnostics/default.aspx,2026-06-18,
