slug,ticker,title,url,publish_date,publish_time
amd,AMD,AMD to Report Fiscal First Quarter 2026 Financial Results,https://ir.amd.com/news-events/press-releases/detail/1282/amd-to-report-fiscal-first-quarter-2026-financial-results,2026-04-08,4:15 pm EDT
costco,COST,Costco Wholesale Corporation Reports March Sales Results,https://investor.costco.com/news/news-details/2026/Costco-Wholesale-Corporation-Reports-March-Sales-Results/default.aspx,2026-04-08,
fedex-freight,FDXF,FedEx Freight Hosts Inaugural Investor Day Ahead of Planned Spinoff from FedEx,https://ir.fedexfreight.com/news-events/press-releases/detail/180/fedex-freight-hosts-inaugural-investor-day-ahead-of-planned-spinoff-from-fedex,2026-04-08,8:16 am EDT
paramount,PSKY,PARAMOUNT ISSUES STATEMENT ON JEFF SHELL,https://ir.paramount.com/news-releases/news-release-details/paramount-issues-statement-jeff-shell,2026-04-08,
