slug,ticker,title,url,publish_date,publish_time
amd,AMD,AMD and Anthropic Announce Strategic Partnership to Deploy Up to 2 Gigawatts of AMD Instinct MI450 Series GPUs,https://ir.amd.com/news-events/press-releases/detail/1292/amd-and-anthropic-announce-strategic-partnership-to-deploy-up-to-2-gigawatts-of-amd-instinct-mi450-series-gpus,2026-07-22,9:00 am EDT
axon,AXON,"Axon to Release Second Quarter 2026 Earnings on August 5, 2026","https://investor.axon.com/2026-07-22-Axon-to-Release-Second-Quarter-2026-Earnings-on-August-5,-2026",2026-07-22,
cdw,CDW,CDW to Announce Second Quarter 2026 Results on August 5,https://investor.cdw.com/news/news-details/2026/CDW-to-Announce-Second-Quarter-2026-Results-on-August-5/default.aspx,2026-07-22,
cme,CME,CME Group Inc. Reports Strong Financial Results for Q2 2026,https://www.cmegroup.com/content/cmegroup/en/media-room/press-releases/2026/7/22/cme_group_inc_reportsstrongfinancialresultsforq22026.html,2026-07-22,
garmin,GRMN,"Garmin acquires TrainingPeaks and TrainHeroic, leading endurance and strength training platforms for athletes and coaches",https://investors.garmin.com/news-and-events/news/news-details/2026/Garmin-acquires-TrainingPeaks-and-TrainHeroic-leading-endurance-and-strength-training-platforms-for-athletes-and-coaches/default.aspx,2026-07-22,
ge-vernova,GEV,GE Vernova reports second quarter 2026 financial results and raises 2026 financial guidance,https://www.gevernova.com/news/press-releases/ge-vernova-reports-second-quarter-2026-financial-results-raises-2026-financial,2026-07-22,
ibm,IBM,IBM RELEASES SECOND-QUARTER RESULTS,https://newsroom.ibm.com/2026-07-22-IBM-RELEASES-SECOND-QUARTER-RESULTS,2026-07-22,
lockheed-martin,LMT,Lockheed Martin Declares Third Quarter 2026 Dividend,https://news.lockheedmartin.com/2026-07-22-Lockheed-Martin-Declares-Third-Quarter-2026-Dividend,2026-07-22,
netapp,NTAP,StructureCraft Scales Data-Driven Design on NetApp,https://investors.netapp.com/news/news-details/2026/StructureCraft-Scales-Data-Driven-Design-on-NetApp/default.aspx,2026-07-22,
paramount,PSKY,EUROPEAN COMMISSION APPROVES PARAMOUNT SKYDANCE CORPORATION ACQUISITION OF WARNER BROS. DISCOVERY MARKING MAJOR MILESTONE TOWARDS COMPLETION,https://ir.paramount.com/news-releases/news-release-details/european-commission-approves-paramount-skydance-corporation,2026-07-22,
workday,WDAY,"Workday Learning, Powered by Sana, Now Generally Available as an AI-Native Learning Experience Built on Workday's Trusted Data",https://investor.workday.com/news-and-events/press-releases/news-details/2026/Workday-Learning-Powered-by-Sana-Now-Generally-Available-as-an-AI-Native-Learning-Experience-Built-on-Workdays-Trusted-Data/default.aspx,2026-07-22,
