slug,ticker,title,url,publish_date,publish_time
axon,AXON,"Axon to Release First Quarter 2026 Earnings on May 6, 2026","https://investor.axon.com/2026-04-22-Axon-to-Release-First-Quarter-2026-Earnings-on-May-6,-2026",2026-04-22,
cdw,CDW,CDW to Announce First Quarter 2026 Results on May 6,https://investor.cdw.com/news/news-details/2026/CDW-to-Announce-First-Quarter-2026-Results-on-May-6/default.aspx,2026-04-22,
chipotle,CMG,"CHIPOTLE REPORTS FIRST CUMULATIVE REAL FOODPRINT RESULTS, INCLUDING OVER 616 MILLION GALLONS OF WATER SAVED IN 2025","https://ir.chipotle.com/2026-04-22-CHIPOTLE-REPORTS-FIRST-CUMULATIVE-REAL-FOODPRINT-RESULTS,-INCLUDING-OVER-616-MILLION-GALLONS-OF-WATER-SAVED-IN-2025",2026-04-22,
