slug,ticker,title,url,publish_date,publish_time
home-depot,HD,"THE HOME DEPOT DONATES $250,000 TO SUPPORT YOUTH PROGRAMS ACROSS GREATER LOS ANGELES AHEAD OF U.S. MEN'S NATIONAL TEAM'S WORLD CUP OPENER",https://ir.homedepot.com/news-releases/2026/06-12-2026-161013905,2026-06-12,
paramount,PSKY,Paramount Skydance Corporation Announces: Extension of Expiration Dates of Previously Announced Exchange Offers and Tender Offers,https://ir.paramount.com/news-releases/news-release-details/paramount-skydance-corporation-announces-extension-expiration,2026-06-12,
travelers,TRV,Travelers Schedules Conference Call to Review Second Quarter 2026 Results,https://investor.travelers.com/newsroom/press-releases/news-details/2026/Travelers-Schedules-Conference-Call-to-Review-Second-Quarter-2026-Results/default.aspx,2026-06-12,
