slug,ticker,title,url,publish_date,publish_time
amd,AMD,AMD Appoints KC McClure to Board of Directors,https://ir.amd.com/news-events/press-releases/detail/1275/amd-appoints-kc-mcclure-to-board-of-directors,2026-01-20,4:15 pm EST
bio-techne,TECH,"Bio-Techne to Host Conference Call on February 4, 2026, to Announce Second Quarter Fiscal 2026 Financial Results",https://investors.bio-techne.com/press-releases/detail/520/bio-techne-to-host-conference-call-on-february-4-2026-to,2026-01-20,
caseys,CASY,"Casey's and Monster Energy Unite for America’s 250th with Ultra Red, White & Blue Razz",https://investor.caseys.com/news-releases/news-release-details/caseys-and-monster-energy-unite-americas-250th-ultra-red-white,2026-01-20,
datadog,DDOG,Datadog Announces Date of Fourth Quarter and Fiscal Year 2025 Earnings Call,https://investors.datadoghq.com/news-releases/news-release-details/datadog-announces-date-fourth-quarter-and-fiscal-year-2025,2026-01-20,
datadog,DDOG,Datadog Announces Upcoming Investor Day,https://investors.datadoghq.com/news-releases/news-release-details/datadog-announces-upcoming-investor-day-0,2026-01-20,
ibm,IBM,"IBM and the Recording Academy Strike a Chord, Release New watsonx Digital Experiences for Fans and Members Around 2026 Grammy Awards®","https://newsroom.ibm.com/2026-01-20-ibm-and-the-recording-academy-strike-a-chord,-release-new-watsonx-digital-experiences-for-fans-and-members-around-2026-grammy-awards",2026-01-20,
jabil,JBL,Jabil Invests in EHT Semi to Accelerate Advanced RF and Pulsed Power Solutions for Next-Generation Semiconductor Manufacturing,https://investors.jabil.com/news/news-details/2026/Jabil-Invests-in-EHT-Semi-to-Accelerate-Advanced-RF-and-Pulsed-Power-Solutions-for-Next-Generation-Semiconductor-Manufacturing/default.aspx,2026-01-20,
netflix,NFLX,Netflix and Warner Bros. Discovery Amend Agreement to All-Cash Transaction,https://ir.netflix.net/investor-news-and-events/financial-releases/press-release-details/2026/Netflix-and-Warner-Bros--Discovery-Amend-Agreement-to-All-Cash-Transaction/default.aspx,2026-01-20,
skyworks,SWKS,Skyworks Sets Date for First Quarter Fiscal 2026 Earnings Release and Conference Call,https://investors.skyworksinc.com/news-releases/news-release-details/skyworks-sets-date-first-quarter-fiscal-2026-earnings-release,2026-01-20,
workday,WDAY,Workday to Invest CAD $1 Billion in Canada Over Five Years,https://investor.workday.com/news-and-events/press-releases/news-details/2026/Workday-to-Invest-CAD-1-Billion-in-Canada-Over-Five-Years/default.aspx,2026-01-20,
