slug,ticker,title,url,publish_date,publish_time
centene,CNC,Superior HealthPlan Recognized as a Best Place for Working Parents® in Texas,https://investors.centene.com/2026-06-16-Superior-HealthPlan-Recognized-as-a-Best-Place-for-Working-Parents-R-in-Texas,2026-06-16,8:00 AM EDT
centene,CNC,MHS Launches Statewide Program to Help Indiana Medicaid Members with Employment,https://investors.centene.com/2026-06-16-MHS-Launches-Statewide-Program-to-Help-Indiana-Medicaid-Members-with-Employment,2026-06-16,9:30 AM EDT
ibm,IBM,Apptio Unveils Conversational Insights and New Suite of AI-Powered Capabilities to Translate Complex Technology Spend into Measurable Business Outcomes,https://newsroom.ibm.com/2026-06-16-apptio-unveils-conversational-insights-and-new-suite-of-ai-powered-capabilities-to-translate-complex-technology-spend-into-measurable-business-outcomes,2026-06-16,
lockheed-martin,LMT,"Lockheed Martin, GM Defense Collaborate to Strengthen America's Manufacturing and Defense Industrial Base","https://news.lockheedmartin.com/2026-06-16-Lockheed-Martin,-GM-Defense-Collaborate-to-Strengthen-Americas-Manufacturing-and-Defense-Industrial-Base",2026-06-16,
quest-diagnostics,DGX,"Quest Diagnostics Unveils Achievements in Healthcare Access, Employee Engagement and Environmental Sustainability in 2025 Corporate Responsibility Report",https://ir.questdiagnostics.com/press-releases/press-release-details/2026/Quest-Diagnostics-Unveils-Achievements-in-Healthcare-Access-Employee-Engagement-and-Environmental-Sustainability-in-2025-Corporate-Responsibility-Report/default.aspx,2026-06-16,
