slug,ticker,title,url,publish_date,publish_time
paramount,PSKY,Paramount Declares Quarterly Cash Dividend,https://ir.paramount.com/news-releases/news-release-details/paramount-declares-quarterly-cash-dividend-2,2026-04-17,
sysco,SYY,Sysco Declares Increase to Quarterly Dividend Payment,https://investors.sysco.com/annual-reports-and-sec-filings/news-releases/2026/04-17-2026-213525150,2026-04-17,
